start_date,end_date,purchase_rate_low,purchase_rate_high,feed_in_rate,vat_percentage,fixed_roi_rate
2024-01-01,2024-12-31,0.28,0.35,0.08,21.0,0.3365
2025-01-01,,0.30,0.38,0.07,21.0,0.3365
